model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc
LR,20,50,50,sgd,0.005,0.005,0.005,0.8172,0.8046,0.8909,0.8221,0.8080,0.8895
FM,20,50,50,sgd,0.005,0.005,0.005,0.9083,0.9076,0.9672,0.9049,0.9033,0.9659
FFM,20,50,50,sgd,0.005,0.005,0.005,0.8755,0.8720,0.9435,0.8742,0.8696,0.9423
