model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc
LR,20,20,50,sgd,0.001,0.005,0.005,0.8151,0.8024,0.8910,0.8230,0.8120,0.9034
LR,20,20,50,sgd,0.005,0.005,0.005,0.8361,0.8232,0.9082,0.8445,0.8332,0.9180
LR,20,20,50,adagrad,0.001,0.005,0.005,0.6952,0.6580,0.7511,0.6994,0.6648,0.7637
LR,20,20,50,adagrad,0.005,0.005,0.005,0.8284,0.8208,0.9028,0.8357,0.8292,0.9128
LR,20,20,50,RMSprop,0.001,0.005,0.005,0.8396,0.8275,0.9099,0.8489,0.8384,0.9200
LR,20,20,50,RMSprop,0.005,0.005,0.005,0.8412,0.8307,0.9117,0.8518,0.8428,0.9212
LR,20,20,50,adam,0.001,0.005,0.005,0.8385,0.8280,0.9087,0.8448,0.8356,0.9182
LR,20,20,50,adam,0.005,0.005,0.005,0.8404,0.8297,0.9108,0.8486,0.8392,0.9211
FM,20,20,50,sgd,0.001,0.005,0.005,0.8863,0.8836,0.9541,0.8840,0.8816,0.9504
FM,20,20,50,sgd,0.005,0.005,0.005,0.9029,0.9035,0.9648,0.9003,0.9020,0.9625
FM,20,20,50,adagrad,0.001,0.005,0.005,0.8831,0.8811,0.9516,0.8813,0.8792,0.9479
FM,20,20,50,adagrad,0.005,0.005,0.005,0.8881,0.8864,0.9542,0.8813,0.8812,0.9510
FM,20,20,50,RMSprop,0.001,0.005,0.005,0.8924,0.8908,0.9586,0.8942,0.8936,0.9593
FM,20,20,50,RMSprop,0.005,0.005,0.005,0.9015,0.9025,0.9626,0.8925,0.8948,0.9620
FM,20,20,50,adam,0.001,0.005,0.005,0.8928,0.8901,0.9580,0.8914,0.8900,0.9589
FM,20,20,50,adam,0.005,0.005,0.005,0.9010,0.9005,0.9628,0.8936,0.8944,0.9622
LR,20,20,50,sgd,0.001,0.005,0.005,0.8150,0.8027,0.8854,0.8200,0.8096,0.8965
LR,20,20,50,sgd,0.001,0.005,0.005,0.8235,0.8097,0.8949,0.8251,0.8128,0.9027
LR,20,20,50,sgd,0.005,0.005,0.005,0.8372,0.8265,0.9073,0.8422,0.8332,0.9166
LR,20,20,50,adagrad,0.001,0.005,0.005,0.7281,0.6921,0.7469,0.7358,0.7036,0.7577
LR,20,20,50,adagrad,0.005,0.005,0.005,0.8167,0.8008,0.8908,0.8239,0.8076,0.9011
LR,20,20,50,RMSprop,0.001,0.005,0.005,0.8388,0.8273,0.9086,0.8447,0.8348,0.9181
LR,20,20,50,RMSprop,0.005,0.005,0.005,0.8420,0.8321,0.9108,0.8536,0.8456,0.9208
LR,20,20,50,adam,0.001,0.005,0.005,0.8388,0.8300,0.9085,0.8434,0.8356,0.9181
LR,20,20,50,adam,0.005,0.005,0.005,0.8430,0.8339,0.9108,0.8525,0.8448,0.9205
FM,20,20,50,sgd,0.001,0.005,0.005,0.8858,0.8837,0.9540,0.8847,0.8828,0.9504
FM,20,20,50,sgd,0.005,0.005,0.005,0.9030,0.9028,0.9651,0.9012,0.9020,0.9630
FM,20,20,50,adagrad,0.001,0.005,0.005,0.8830,0.8804,0.9518,0.8788,0.8764,0.9481
FM,20,20,50,adagrad,0.005,0.005,0.005,0.8889,0.8888,0.9546,0.8815,0.8824,0.9517
FM,20,20,50,RMSprop,0.001,0.005,0.005,0.8965,0.8961,0.9601,0.8927,0.8936,0.9607
FM,20,20,50,RMSprop,0.005,0.005,0.005,0.9023,0.9029,0.9638,0.8962,0.8980,0.9642
FM,20,20,50,adam,0.001,0.005,0.005,0.8925,0.8911,0.9577,0.8894,0.8896,0.9586
FM,20,20,50,adam,0.005,0.005,0.005,0.9040,0.9032,0.9650,0.9014,0.9016,0.9651
FFM,20,20,50,sgd,0.001,0.005,0.005,0.8391,0.8351,0.9163,0.8457,0.8424,0.9234
FFM,20,20,50,sgd,0.005,0.005,0.005,0.8586,0.8589,0.9327,0.8576,0.8596,0.9388
FFM,20,20,50,adagrad,0.001,0.005,0.005,0.8099,0.7992,0.8848,0.8146,0.8032,0.8866
FFM,20,20,50,adagrad,0.005,0.005,0.005,0.8614,0.8615,0.9366,0.8654,0.8672,0.9383
