model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc,tr_1per,te_1per
FM-R,50,100,100,adam,0.001,0.001,0.001,0.899175,0.89355,0.963325,0.8856,0.8773500000000001,0.9537249999999999,0.4304,0.436
LR,100,100,100,sgd,0.001,0.001,0.001,0.748225,0.7018249999999999,0.7771250000000001,0.7542,0.707225,0.77685,0.4304,0.436
LR-R,100,100,100,sgd,0.001,0.001,0.001,0.7481249999999999,0.698225,0.7780499999999999,0.7534000000000001,0.702825,0.77755,0.4304,0.436
FM,100,100,100,sgd,0.001,0.001,0.001,0.86575,0.855275,0.9359249999999999,0.850225,0.836875,0.9233,0.4304,0.436
FM-R,100,100,100,sgd,0.001,0.001,0.001,0.8649,0.85445,0.9353750000000001,0.85095,0.8373,0.924325,0.4304,0.436
LR,100,100,100,adagrad,0.001,0.001,0.001,0.72365,0.6513,0.7286999999999999,0.72375,0.65115,0.7268999999999999,0.4304,0.436
LR-R,100,100,100,adagrad,0.001,0.001,0.001,0.725375,0.6507499999999999,0.727975,0.73355,0.66205,0.73245,0.4304,0.436
FM,100,100,100,adagrad,0.001,0.001,0.001,0.8795499999999999,0.870725,0.9486,0.85455,0.8419,0.927,0.4304,0.436
FM-R,100,100,100,adagrad,0.001,0.001,0.001,0.8688,0.8597,0.9389750000000001,0.852875,0.84075,0.925075,0.4304,0.436
LR,100,100,100,RMSprop,0.001,0.001,0.001,0.7525250000000001,0.71085,0.7893,0.7525499999999999,0.7094750000000001,0.782525,0.4304,0.436
LR-R,100,100,100,RMSprop,0.001,0.001,0.001,0.7507250000000001,0.707225,0.7859250000000001,0.755,0.7105,0.783925,0.4304,0.436
FM,100,100,100,RMSprop,0.001,0.001,0.001,0.9995750000000001,0.99955,1.0,0.9118499999999999,0.906425,0.971775,0.4304,0.436
FM-R,100,100,100,RMSprop,0.001,0.001,0.001,0.8971750000000001,0.891125,0.961925,0.8846999999999999,0.876125,0.952725,0.4304,0.436
LR,100,100,100,adam,0.001,0.001,0.001,0.7527,0.711825,0.789425,0.752425,0.710175,0.782275,0.4304,0.436
LR-R,100,100,100,adam,0.001,0.001,0.001,0.7506999999999999,0.705875,0.786,0.75585,0.7100500000000001,0.7838999999999999,0.4304,0.436
FM,100,100,100,adam,0.001,0.001,0.001,0.999525,0.9995,1.0,0.9101,0.9042749999999999,0.971275,0.4304,0.436
FM-R,100,100,100,adam,0.001,0.001,0.001,0.90075,0.89435,0.9644,0.888225,0.87915,0.954975,0.4304,0.436
