model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc
LR,10,20,50,adam,0.005,0.005,0.005,0.6547,0.9410,0.9394,0.6622,0.9390,0.9387
FM,10,20,50,adam,0.005,0.005,0.005,0.8063,0.9605,0.9845,0.8156,0.9604,0.9828
FFM,10,20,50,adam,0.005,0.005,0.005,0.7343,0.9447,0.9546,0.7423,0.9428,0.9522
FFM-None,10,20,50,adam,0.005,0.005,0.005,0.9585,0.9909,0.9995,0.8279,0.9576,0.9890
